2025-10-16 13:19:12 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-002
2025-10-16 13:20:56 | staff:STF-003 | action:WRITE_PRESCRIPTION | Prescription PRE-003 added for resident RES-002
2025-10-16 13:20:56 | staff:STF-003 | action:WRITE_PRESCRIPTION | Prescription PRE-003 added for resident RES-002
2025-10-16 13:21:09 | staff:STF-004 | action:VIEW_RESIDENT | Authenticated
2025-10-16 13:21:20 | staff:STF-004 | action:MOVE_RESIDENT | Moved resident RES-001 from W1-R101-B4 to W1-R101-B1
2025-10-16 13:21:20 | staff:STF-004 | action:MOVE_RESIDENT | Moved resident from W1-R101-B4 to W1-R101-B1
2025-10-16 13:21:28 | staff:STF-004 | action:MOVE_RESIDENT | Moved resident RES-001 from W1-R101-B1 to W2-R203-B1
2025-10-16 13:21:28 | staff:STF-004 | action:MOVE_RESIDENT | Moved resident from W1-R101-B1 to W2-R203-B1
2025-10-16 13:21:37 | staff:STF-004 | action:MOVE_RESIDENT | Moved resident RES-001 from W2-R203-B1 to W1-R101-B4
2025-10-16 13:21:37 | staff:STF-004 | action:MOVE_RESIDENT | Moved resident from W2-R203-B1 to W1-R101-B4
2025-10-16 13:21:48 | staff:STF-004 | action:ADMINISTER_MEDICINE | Administered Med-3 to resident test-res2
2025-10-16 13:21:49 | staff:System | action:ADD_RESIDENT | Saved system state to healthcarehome_state.dat
2025-10-16 13:21:55 | staff:STF-004 | action:ADMINISTER_MEDICINE | Administered Med-2 to resident test-res1
2025-10-16 13:21:56 | staff:System | action:ADD_RESIDENT | Saved system state to healthcarehome_state.dat
2025-10-16 13:22:03 | staff:STF-004 | action:ADMINISTER_MEDICINE | Administered med-1 to resident test-res1
2025-10-16 13:22:04 | staff:System | action:ADD_RESIDENT | Saved system state to healthcarehome_state.dat
2025-10-16 13:22:18 | staff:STF-002 | action:VIEW_RESIDENT | Authenticated
2025-10-16 13:22:24 | staff:STF-002 | action:DISCHARGE_RESIDENT | Discharged RES-001 from bed W1-R101-B4
2025-10-16 13:22:24 | staff:STF-002 | action:DISCHARGE_RESIDENT | Discharged resident RES-001
2025-10-16 13:22:31 | staff:STF-002 | action:DISCHARGE_RESIDENT | Discharged RES-002 from bed W1-R102-B2
2025-10-16 13:22:31 | staff:STF-002 | action:DISCHARGE_RESIDENT | Discharged resident RES-002
2025-10-16 13:31:08 | staff:STF-002 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-003
2025-10-16 13:31:08 | staff:STF-002 | action:ADD_RESIDENT | Assigned resident RES-001 to W1-R101-B3
2025-10-16 13:31:08 | staff:STF-002 | action:DISCHARGE_RESIDENT | Discharged RES-001 from bed W1-R101-B3
2025-10-16 13:31:08 | staff:STF-007 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-008
2025-10-16 13:31:08 | staff:STF-007 | action:ADD_RESIDENT | Assigned resident RES-003 to W1-R101-B1
2025-10-16 13:31:08 | staff:STF-011 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-012
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-014
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-015
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-016
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-017
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-015
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-016
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-017
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-015
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-016
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-017
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-015
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-016
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-017
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-015
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-016
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-017
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-015
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-016
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-017
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-015
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-016
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-017
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-015
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-016
2025-10-16 13:31:08 | staff:STF-014 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-017
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-022
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-023
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-024
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-023
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-024
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-023
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-024
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-023
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-024
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-023
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-024
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-023
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-024
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-023
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-024
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-023
2025-10-16 13:31:08 | staff:STF-022 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-024
2025-10-16 13:31:08 | staff:STF-026 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-027
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-029
2025-10-16 13:31:08 | staff:SystemGenerated | action:ADD_STAFF | Registered staff with id: STF-030
2025-10-16 13:31:08 | staff:STF-029 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-030
2025-10-16 13:31:08 | staff:STF-029 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-030
2025-10-16 13:31:08 | staff:STF-032 | action:ADD_STAFF | Added staff with id: STF-033
2025-10-16 13:31:08 | staff:STF-035 | action:SHIFT_ASSIGNMENT | Assigned shift to STF-036
2025-10-16 13:31:08 | staff:STF-035 | action:ADD_RESIDENT | Assigned resident RES-004 to W1-R101-B1
